"PROBING SUMMARY REPORT"
"08/24/2022 00:00:00  -  08/24/2022 23:59:59"
"LEETRAN"

"Infrared Probing"
"Location","Bus","Probe Time","Cashbox ID","Farebox Number","Route","Run","Driver","Probe Number"
"1 - 3401 Metro Pkwy",245,"09/12/2022 22:40:20",7,10497,"","","",1
"1 - 3401 Metro Pkwy",245,"09/13/2022 10:11:49",7,10497,888,3,79849,1
"1 - 3401 Metro Pkwy",245,"09/14/2022 18:58:07",7,10497,1,1,78723,1
"1 - 3401 Metro Pkwy",245,"09/15/2022 19:09:27",7,10497,888,1,96076,1
"1 - 3401 Metro Pkwy",245,"09/17/2022 17:59:30",7,10497,888,1,95313,1
"1 - 3401 Metro Pkwy",245,"09/18/2022 18:20:34",7,10497,888,1,95475,1
"1 - 3401 Metro Pkwy",245,"09/19/2022 19:33:51",7,10497,888,1,81196,1
"1 - 3401 Metro Pkwy",245,"09/21/2022 18:54:12",7,10497,"","","",1
"1 - 3401 Metro Pkwy",245,"09/23/2022 20:09:46",7,10497,888,1,96076,1
"1 - 3401 Metro Pkwy",245,"09/23/2022 20:11:41",7,10497,"","","",1
"1 - 3401 Metro Pkwy",245,"09/24/2022 17:00:24",7,10497,888,1,90795,1
"1 - 3401 Metro Pkwy",245,"09/24/2022 17:01:59",7,10497,"","","",1
"1 - 3401 Metro Pkwy",245,"09/25/2022 16:45:13",7,10497,888,1,96076,1
"1 - 3401 Metro Pkwy",245,"09/26/2022 19:06:07",7,10497,"","","",1
"1 - 3401 Metro Pkwy",246,"08/24/2022 19:08:06",25,10465,888,1,95313,1
"1 - 3401 Metro Pkwy",246,"08/25/2022 19:06:14",25,10465,888,1,95316,1
"1 - 3401 Metro Pkwy",246,"08/26/2022 20:03:45",25,10465,888,1,90795,1
"1 - 3401 Metro Pkwy",246,"08/27/2022 19:22:00",25,10465,888,1,90795,1
"1 - 3401 Metro Pkwy",246,"08/28/2022 19:02:06",25,10465,888,1,95316,1
"1 - 3401 Metro Pkwy",246,"08/29/2022 18:36:05",25,10465,888,1,94908,1
"1 - 3401 Metro Pkwy",246,"08/30/2022 19:16:53",25,10465,1,1,78723,1
"1 - 3401 Metro Pkwy",246,"08/31/2022 18:49:14",25,10465,888,1,90795,1
"1 - 3401 Metro Pkwy",246,"08/31/2022 18:49:28",25,10465,"","","",1
"1 - 3401 Metro Pkwy",246,"08/31/2022 18:49:51",25,10465,"","","",1
"1 - 3401 Metro Pkwy",246,"08/31/2022 18:50:06",25,10465,"","","",1
"1 - 3401 Metro Pkwy",246,"08/31/2022 18:50:28",25,10465,"","","",1
"1 - 3401 Metro Pkwy",246,"09/01/2022 19:17:43",25,10465,888,1,90795,1
"1 - 3401 Metro Pkwy",246,"09/02/2022 19:34:33",25,10465,888,1,90795,1
"1 - 3401 Metro Pkwy",246,"09/03/2022 19:26:46",25,10465,1,1,90795,1
"1 - 3401 Metro Pkwy",246,"09/04/2022 18:28:12",25,10465,888,1,95316,1
"1 - 3401 Metro Pkwy",246,"09/06/2022 19:01:00",25,10465,888,1,78723,1
"1 - 3401 Metro Pkwy",246,"09/07/2022 20:46:36",25,10465,888,1,75475,1
"1 - 3401 Metro Pkwy",246,"09/08/2022 19:26:38",25,10465,888,1,95313,1
"1 - 3401 Metro Pkwy",246,"09/10/2022 18:28:18",25,10465,888,1,90795,1
"1 - 3401 Metro Pkwy",246,"09/11/2022 18:13:51",25,10465,888,1,95316,1
"1 - 3401 Metro Pkwy",246,"09/12/2022 19:32:36",25,10465,888,1,95316,1
"1 - 3401 Metro Pkwy",246,"09/13/2022 18:55:07",25,10465,888,1,96359,1
"1 - 3401 Metro Pkwy",246,"09/14/2022 19:05:31",25,10465,888,1,90795,1
"1 - 3401 Metro Pkwy",246,"09/15/2022 19:18:27",25,10465,888,1,90795,1
"1 - 3401 Metro Pkwy",246,"09/17/2022 18:24:06",25,10465,888,1,96359,1
"1 - 3401 Metro Pkwy",246,"09/18/2022 18:30:04",25,10465,888,1,95316,1
"1 - 3401 Metro Pkwy",246,"09/19/2022 19:10:32",25,10465,888,1,96076,1
"1 - 3401 Metro Pkwy",246,"09/20/2022 18:58:57",25,10465,888,1,96359,1
"1 - 3401 Metro Pkwy",246,"09/21/2022 18:56:34",25,10465,888,1,90795,1
"1 - 3401 Metro Pkwy",246,"09/22/2022 19:44:11",25,10465,888,1,90795,1
"1 - 3401 Metro Pkwy",246,"09/24/2022 19:06:18",25,10465,888,1,96359,1
"1 - 3401 Metro Pkwy",246,"09/25/2022 18:15:58",25,10465,888,1,95316,1
"1 - 3401 Metro Pkwy",246,"09/26/2022 19:03:07",25,10465,888,1,96076,1
"1 - 3401 Metro Pkwy",247,"08/24/2022 19:05:05",8,10475,888,1,96076,1
"1 - 3401 Metro Pkwy",247,"08/25/2022 19:12:11",8,10475,888,1,90795,1
"1 - 3401 Metro Pkwy",247,"08/27/2022 18:18:37",8,10475,"","","",1
"1 - 3401 Metro Pkwy",247,"08/28/2022 18:22:39",8,10475,888,1,95313,1
"1 - 3401 Metro Pkwy",247,"08/29/2022 19:44:44",8,10475,888,1,95313,1
"1 - 3401 Metro Pkwy",247,"08/30/2022 19:21:44",8,10475,888,1,90795,1
"1 - 3401 Metro Pkwy",247,"08/31/2022 18:53:30",8,10475,888,1,95313,1
"1 - 3401 Metro Pkwy",247,"08/31/2022 18:53:54",8,10475,"","","",1
"1 - 3401 Metro Pkwy",247,"09/01/2022 18:26:30",8,10475,"","","",1
"1 - 3401 Metro Pkwy",247,"09/02/2022 19:40:35",8,10475,"","","",1
"1 - 3401 Metro Pkwy",247,"09/03/2022 19:05:49",8,10475,"","","",1
